,Twitter Account,Date,Compound,Positive,Negative,Neutral,Text
0,@BBCNews,Sat Dec 02 19:03:17 +0000 2017,-0.4019,0.0,0.748,0.252,Dalston bus ticket clash: Eight police officers injured https://t.co/IDBFyBXpzU
1,@BBCNews,Sat Dec 02 18:53:04 +0000 2017,0.4767,0.339,0.661,0.0,Children's commissioner may consider legal action over Universal Credit https://t.co/VBUgrOVaBF
2,@BBCNews,Sat Dec 02 18:01:06 +0000 2017,0.0,0.0,1.0,0.0,"RT @BBCSport: Half an hour gone.

Arsenal 0-2 Man Utd.

Live👉 https://t.co/KcWELiLlbu #ARSMUN https://t.co/52HL2bn4nW"
3,@BBCNews,Sat Dec 02 17:53:21 +0000 2017,0.0,0.0,1.0,0.0,"RT @bbcweather: Heading out this #SaturdayNight? It'll be generally cloudy, with a little patchy #rain for some. Ben R https://t.co/eCyp8BY…"
4,@BBCNews,Sat Dec 02 17:28:39 +0000 2017,-0.5994,0.0,0.804,0.196,RT @BBCNewsbeat: The family of 14-year-old Samuel Berkley say they are 'heartbroken' about his death  https://t.co/uwkibpisVX https://t.co/…
5,@BBCNews,Sat Dec 02 17:02:29 +0000 2017,0.0,0.0,1.0,0.0,RT @BBCSport: What a story for Hereford FC - they'll be in the #FACup third round draw https://t.co/QWHazTLw0a https://t.co/bzxXGK2a1C
6,@BBCNews,Sat Dec 02 16:55:38 +0000 2017,-0.2263,0.0,0.899,0.101,RT @BBCNewsbeat: Tangled tinsel and wonky trees: feast your eyes on the UK's dodgy Christmas displays https://t.co/HLVfpYXFIV https://t.co/…
7,@BBCNews,Sat Dec 02 16:48:36 +0000 2017,0.8934,0.416,0.584,0.0,"RT @BBCSport: Wales survived a remarkable comeback to end their autumn series with a nail-biting win over South Africa.

➡ https://t.co/pXf…"
8,@BBCNews,Sat Dec 02 15:57:36 +0000 2017,0.0,0.0,1.0,0.0,"RT @BBCSport: Here are the half-time Premier League scores. How's your team getting on?
https://t.co/CZVS9P2SMe #bbcfootball https://t.co/U…"
9,@BBCNews,Sat Dec 02 15:29:08 +0000 2017,-0.296,0.0,0.789,0.211,RT @BBCNewsbeat: Motorway Martin: PC single-handedly stops van from falling off bridge https://t.co/TREilMlB8z https://t.co/19YLSTXTNO
10,@BBCNews,Sat Dec 02 15:02:01 +0000 2017,0.5106,0.32,0.68,0.0,Barclays axes free Kaspersky product as a 'precaution' https://t.co/hM5VoCy35a
11,@BBCNews,Sat Dec 02 14:28:13 +0000 2017,-0.5719,0.0,0.684,0.316,Whirlpool tumble dryers: MPs' anger as replacement ends https://t.co/DVZGbXlHPr
12,@BBCNews,Sat Dec 02 14:03:52 +0000 2017,0.4019,0.252,0.748,0.0,Chief vet defends support of larger hen cages https://t.co/d1PJYfW4ig
13,@BBCNews,Sat Dec 02 13:57:30 +0000 2017,0.0,0.0,1.0,0.0,RT @BBCScienceNews: Migraine is 'not just a headache' https://t.co/GjoF5Q29Qh
14,@BBCNews,Sat Dec 02 12:40:53 +0000 2017,-0.296,0.0,0.686,0.314,Motorway PC stops lorry from falling off bridge https://t.co/eoRnM2sCA1
15,@BBCNews,Sat Dec 02 12:40:52 +0000 2017,0.0258,0.19,0.657,0.152,RT @bbcstories: Errol’s a mechanic and prostate cancer survivor. Now he’s dedicated to getting as many other men diagnosed as he can. What…
16,@BBCNews,Sat Dec 02 12:23:57 +0000 2017,0.0,0.0,1.0,0.0,"Boy, 14, dies after being hit on M67 in Hyde https://t.co/zLciXH4tvM"
17,@BBCNews,Sat Dec 02 12:03:23 +0000 2017,0.2023,0.13,0.87,0.0,Ashes: Australia on top after day one of second Test in Adelaide https://t.co/n1IoUJJcVi
18,@BBCNews,Sat Dec 02 11:54:26 +0000 2017,0.34,0.107,0.893,0.0,"RT @5liveSport: That's close of play for Day 1 at Adelaide. 

Australia are 209-4. Get all the reaction from @Aggerscricket and @philtufnel…"
19,@BBCNews,Sat Dec 02 11:40:36 +0000 2017,-0.4939,0.0,0.887,0.113,RT @Moneybox: Do we still need cash machines? Some fear the numbers of ATMs could plummet over the next few years. We'll be discussing on M…
20,@BBCNews,Sat Dec 02 19:03:17 +0000 2017,-0.4019,0.0,0.748,0.252,Dalston bus ticket clash: Eight police officers injured https://t.co/IDBFyBXpzU
21,@BBCNews,Sat Dec 02 18:53:04 +0000 2017,0.4767,0.339,0.661,0.0,Children's commissioner may consider legal action over Universal Credit https://t.co/VBUgrOVaBF
22,@BBCNews,Sat Dec 02 18:01:06 +0000 2017,0.0,0.0,1.0,0.0,"RT @BBCSport: Half an hour gone.

Arsenal 0-2 Man Utd.

Live👉 https://t.co/KcWELiLlbu #ARSMUN https://t.co/52HL2bn4nW"
23,@BBCNews,Sat Dec 02 17:53:21 +0000 2017,0.0,0.0,1.0,0.0,"RT @bbcweather: Heading out this #SaturdayNight? It'll be generally cloudy, with a little patchy #rain for some. Ben R https://t.co/eCyp8BY…"
24,@BBCNews,Sat Dec 02 17:28:39 +0000 2017,-0.5994,0.0,0.804,0.196,RT @BBCNewsbeat: The family of 14-year-old Samuel Berkley say they are 'heartbroken' about his death  https://t.co/uwkibpisVX https://t.co/…
25,@BBCNews,Sat Dec 02 17:02:29 +0000 2017,0.0,0.0,1.0,0.0,RT @BBCSport: What a story for Hereford FC - they'll be in the #FACup third round draw https://t.co/QWHazTLw0a https://t.co/bzxXGK2a1C
26,@BBCNews,Sat Dec 02 16:55:38 +0000 2017,-0.2263,0.0,0.899,0.101,RT @BBCNewsbeat: Tangled tinsel and wonky trees: feast your eyes on the UK's dodgy Christmas displays https://t.co/HLVfpYXFIV https://t.co/…
27,@BBCNews,Sat Dec 02 16:48:36 +0000 2017,0.8934,0.416,0.584,0.0,"RT @BBCSport: Wales survived a remarkable comeback to end their autumn series with a nail-biting win over South Africa.

➡ https://t.co/pXf…"
28,@BBCNews,Sat Dec 02 15:57:36 +0000 2017,0.0,0.0,1.0,0.0,"RT @BBCSport: Here are the half-time Premier League scores. How's your team getting on?
https://t.co/CZVS9P2SMe #bbcfootball https://t.co/U…"
29,@BBCNews,Sat Dec 02 15:29:08 +0000 2017,-0.296,0.0,0.789,0.211,RT @BBCNewsbeat: Motorway Martin: PC single-handedly stops van from falling off bridge https://t.co/TREilMlB8z https://t.co/19YLSTXTNO
30,@BBCNews,Sat Dec 02 15:02:01 +0000 2017,0.5106,0.32,0.68,0.0,Barclays axes free Kaspersky product as a 'precaution' https://t.co/hM5VoCy35a
31,@BBCNews,Sat Dec 02 14:28:13 +0000 2017,-0.5719,0.0,0.684,0.316,Whirlpool tumble dryers: MPs' anger as replacement ends https://t.co/DVZGbXlHPr
